UNIPROT,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE
Q7QDY9,AGAP010740,AGAP010740-PA,AGAP010740-RA,1272537,AgaP_AGAP010740,
Q7PEU8,AGAP003254,AGAP003254-PA,AGAP003254-RA,1269163,GPRGR16,
Q7PVF6,,,,1280258,AgaP_AGAP009291,
Q5TMM1,AGAP011748,AGAP011748-PA,AGAP011748-RA,3291425,AgaP_AGAP011748,
Q7Q9Z3,AGAP004514,AGAP004514-PA,AGAP004514-RA,1274659,AgaP_AGAP004514,
Q7PIQ5,AGAP005627,AGAP005627-PD,AGAP005627-RD,1276313,AgaP_AGAP005627,
Q7PXJ5,AGAP001433,AGAP001433-PA,AGAP001433-RA,1281744,CLIPD3,
Q7QE87,AGAP000774,AGAP000774-PA,AGAP000774-RA,1272365,AgaP_AGAP000774,
A8B1J9,AGAP012635,AGAP012635-PA,AGAP012635-RA,1268683,AgaP_AGAP012635,Aga.32593
Q7QGV2,AGAP010898,AGAP010898-PA,AGAP010898-RA,1271049,AgaP_AGAP010898,
Q7PIH2,AGAP006048,AGAP006048-PA,AGAP006048-RA,1276720,AgaP_AGAP006048,
A0NB41,AGAP012565,AGAP012565-PA,AGAP012565-RA,4397708,AgaP_AGAP012565,
Q7QH63,AGAP004062,AGAP004062-PA,AGAP004062-RA,1270864,AgaP_AGAP004062,
Q7QHD7,AGAP011142,AGAP011142-PA,AGAP011142-RA,1270785,AgaP_AGAP011142,
Q7Q5Q0,AGAP006275,AGAP006275-PA,AGAP006275-RA,1276930,AgaP_AGAP006275,
Q7Q5F2,AGAP006471,AGAP006471-PA,AGAP006471-RA,1277077,AgaP_AGAP006471,
Q7Q7C6,AGAP005384,AGAP005384-PA,AGAP005384-RA,1276086,AgaP_AGAP005384,
A0NDS7,AGAP005039,AGAP005039-PA,AGAP005039-RA,4576265,AgaP_AGAP005039,
Q7QBU9,AGAP002322,AGAP002322-PA,AGAP002322-RA,1273647,AgaP_AGAP002322,
Q7Q2D0,AGAP004667,AGAP004667-PA,AGAP004667-RA,1278723,AgaP_AGAP004667,
Q7Q3H2,,,,1278082,AgaP_AGAP007873,
Q7PTC1,AGAP006939,AGAP006939-PA,AGAP006939-RA,1270145,AgaP_AGAP006939,
A0NDY3,AGAP001088,AGAP001088-PA,AGAP001088-RA,4576111,AgaP_AGAP001088,
Q7QDQ9,,,,1272677,AgaP_AGAP010366,
A7USC2,AGAP010618,AGAP010618-PA,AGAP010618-RA,5667797,AgaP_AGAP010618,
Q7QF01,AGAP000238,AGAP000238-PA,AGAP000238-RA,1272023,AgaP_AGAP000238,
A7UVB1,AGAP012356,AGAP012356-PA,AGAP012356-RA,5667852,AgaP_AGAP012356,
Q7PZE7,,,,1280784,AgaP_AGAP011875,
A0NC38,,,,4578363,AgaP_AGAP009384,
Q7PVG0,,,,1280254,AgaP_AGAP009288,
Q5TRJ7,AGAP005585,AGAP005585-PB,AGAP005585-RB,1276273,AgaP_AGAP005585,
Q7Q2Y3,AGAP011394,AGAP011394-PA,AGAP011394-RA,1278303,AgaP_AGAP011394,
Q7QAW1,AGAP003514,AGAP003514-PA,AGAP003514-RA,1274172,AgaP_AGAP003514,
Q7PPN7,AGAP008774,AGAP008774-PA,AGAP008774-RA,1275633,AgaP_AGAP008774,
Q5TNM6,,,,3291882,AgaP_AGAP009017,
Q7Q801,AGAP004922,AGAP004922-PA,AGAP004922-RA,1275726,CASPS11,
Q7Q024,AGAP012218,AGAP012218-PA,AGAP012218-RA,1280473,AgaP_AGAP012218,
Q7PJX4,AGAP010043,AGAP010043-PA,AGAP010043-RA,1279468,AgaP_AGAP010043,
Q7QA41,AGAP004447,AGAP004447-PA,AGAP004447-RA,1274592,AgaP_AGAP004447,
Q7Q2S2,AGAP004785,AGAP004785-PA,AGAP004785-RA,1278438,AgaP_AGAP004785,
Q7PX13,AGAP001160,AGAP001160-PA,AGAP001160-RA,1282008,AgaP_AGAP001160,
Q7PR84,AGAP002520,AGAP002520-PA,AGAP002520-RA,1273441,AgaP_AGAP002520,
Q7QFS1,AGAP003876,AGAP003876-PA,AGAP003876-RA,3290921,AgaP_AGAP003876,
Q7Q9Q7,AGAP005101,AGAP005101-PA,AGAP005101-RA,1274776,AgaP_AGAP005101,
Q7Q5J8,AGAP006392,AGAP006392-PA,AGAP006392-RA,1277004,AgaP_AGAP006392,
Q7QHB0,AGAP011109,AGAP011109-PA,AGAP011109-RA,1270815,AgaP_AGAP011109,
A0NEP6,AGAP006204,AGAP006204-PA,AGAP006204-RA,4576623,AgaP_AGAP006204,
A7UVE9,,,,5667919,AgaP_AGAP012021,
Q7Q883,AGAP008751,AGAP008751-PA,AGAP008751-RA,1275607,AgaP_AGAP008751,
Q7Q6T8,AGAP005673,AGAP005673-PA,AGAP005673-RA,1276353,AgaP_AGAP005673,
Q7PF20,AGAP006717,AGAP006717-PA,AGAP006717-RA,1270341,GPRGR26,
A7UU98,AGAP006447,AGAP006447-PA,AGAP006447-RA,5667383,AgaP_AGAP006447,
A7USX4,AGAP003151,AGAP003151-PA,AGAP003151-RA,5667459,AgaP_AGAP003151,
A7UU21,AGAP006135,AGAP006135-PA,AGAP006135-RA,5667250,AgaP_AGAP006135,
Q7QKG3,,,,1269244,AgaP_AGAP009446,
A7UQY5,AGAP012829,AGAP012829-PA,AGAP012829-RA,5668415,AgaP_AGAP012829,
Q7PVV8,,,,1280128,AgaP_AGAP009172,
Q7QCC1,AGAP002553,AGAP002553-PA,AGAP002553-RA,1273412,AgaP_AGAP002553,
Q7PWP0,,,,1279867,AgaP_AGAP008900,
Q7Q2Q2,AGAP004757,AGAP004757-PA,AGAP004757-RA,1278468,AgaP_AGAP004757,
Q7QIX3,AGAP007115,AGAP007115-PA,AGAP007115-RA,1269989,AgaP_AGAP007115,
Q7QD62,AGAP002974,AGAP002974-PA,AGAP002974-RA,1272986,AgaP_AGAP002974,
Q5TTD1,AGAP004210,AGAP004210-PA,AGAP004210-RA,1274050,AgaP_AGAP004210,
A7UV80,,,,5668258,AgaP_AGAP009038,
Q5TRW6,AGAP004595,AGAP004595-PA,AGAP004595-RA,3291047,GPRGBB2,
Q7PWB2,,,,1279986,AgaP_AGAP009028,
Q7PTN4,AGAP009431,AGAP009431-PA,AGAP009431-RA,1269220,AgaP_AGAP009431,
Q7Q1Q4,AGAP009680,AGAP009680-PA,AGAP009680-RA,1279068,AgaP_AGAP009680,
Q7Q3K7,AGAP007927,AGAP007927-PA,AGAP007927-RA,1278028,AgaP_AGAP007927,
Q7Q2S5,AGAP004789,AGAP004789-PA,AGAP004789-RA,1278434,AgaP_AGAP004791,
Q7PQV6,AGAP002333,AGAP002333-PA,AGAP002333-RA,1273635,AgaP_AGAP002333,
Q7Q6A1,AGAP005955,AGAP005955-PA,AGAP005955-RA,1276626,AgaP_AGAP005955,
Q7QCX4,AGAP002847,AGAP002847-PA,AGAP002847-RA,1273116,AgaP_AGAP002847,
Q7Q7R3,AGAP004638,AGAP004638-PA,AGAP004638-RA,1275890,AgaP_AGAP004638,
Q7PRF4,AGAP003400,AGAP003400-PA,AGAP003400-RA,1272775,AgaP_AGAP003400,
Q5TU46,AGAP002928,AGAP002928-PA,AGAP002928-RA,3290711,AgaP_AGAP002928,
A0NEB5,AGAP005369,AGAP005369-PA,AGAP005369-RA,4576537,AgaP_AGAP005369,
A0NCJ3,AGAP000204,AGAP000204-PA,AGAP000204-RA,4576158,AgaP_AGAP000204,
Q7QEK5,AGAP000032,AGAP000032-PA,AGAP000032-RA,1272247,AgaP_AGAP000032,
Q7Q9I6,AGAP005219,AGAP005219-PA,AGAP005219-RA,1274926,AgaP_AGAP005219,
Q7PJL8,AGAP001068,AGAP001068-PA,AGAP001068-RA,1278673,AgaP_AGAP001068,
A7UV58,AGAP010079,AGAP010079-PA,AGAP010079-RA,5668146,AgaP_AGAP010079,
Q7PMZ9,AGAP011398,AGAP011398-PA,AGAP011398-RA,1278298,AgaP_AGAP011398,
Q5TWQ4,AGAP007139,AGAP007139-PA,AGAP007139-RA,3290312,AgaP_AGAP007139,
F5HJG5,AGAP013259,AGAP013259-PA,AGAP013259-RA,11175620,AgaP_AGAP013259,
Q7Q4B4,AGAP008322,AGAP008322-PA,AGAP008322-RA,1277663,AgaP_AGAP008322,
A0NBZ8,AGAP010972,AGAP010972-PA,AGAP010972-RA,4577649,AgaP_AGAP010972,
A7US19,AGAP005285,AGAP005285-PA,AGAP005285-RA,5667264,AgaP_AGAP005285,
Q7QGK4,AGAP011580,AGAP011580-PA,AGAP011580-RA,1271181,EIF3K_ANOGA,
F5HM07,AGAP001073,AGAP001073-PA,AGAP001073-RA,1278674,AgaP_AGAP001073,
Q7QKM7,AGAP012801,AGAP012801-PA,AGAP012801-RA,1269133,AgaP_AGAP012801,Aga.30123
Q9GT45,AGAP012100,AGAP012100-PA,AGAP012100-RA,1280575,RS26_ANOGA,
Q7PP01,AGAP006171,AGAP006171-PA,AGAP006171-RA,1276838,AgaP_AGAP006171,
Q7Q0W8,AGAP010098,AGAP010098-PA,AGAP010098-RA,1279524,CPR83,
A0A1W5,,,,,,
Q7PTT6,AGAP012656,AGAP012656-PA,AGAP012656-RA,1268997,AgaP_AGAP012656,
F5HMR6,AGAP001419,AGAP001419-PC,AGAP001419-RC,1281757,AgaP_AGAP001419,
Q7QBW4,AGAP002338,AGAP002338-PA,AGAP002338-RA,1273629,AgaP_AGAP002338,
A7UVB0,AGAP012075,AGAP012075-PA,AGAP012075-RA,5667894,AgaP_AGAP012075,
Q7QA65,AGAP004414,AGAP004414-PA,AGAP004414-RA,1274558,AgaP_AGAP004414,
O76217,,,,1270270,PE1_ANOGA,
Q7PKQ5,AGAP001497,AGAP001497-PC,AGAP001497-RC,1281675,ACTN_ANOGA,
Q7QIG1,AGAP006826,AGAP006826-PA,AGAP006826-RA,1270237,AgaP_AGAP006826,
Q7QH50,AGAP004089,AGAP004089-PA,AGAP004089-RA,1270886,AgaP_AGAP004089,
Q7Q237,AGAP010801,AGAP010801-PA,AGAP010801-RA,4577816,AgaP_AGAP010801,
Q7Q812,AGAP004908,AGAP004908-PA,AGAP004908-RA,1275715,AgaP_AGAP004908,
Q5TWL9,AGAP006985,AGAP006985-PA,AGAP006985-RA,3290282,AgaP_AGAP006985,
Q7QJ81,AGAP007344,AGAP007344-PA,AGAP007344-RA,1269833,LYSC8,
A0NB55,AGAP012665,AGAP012665-PB,AGAP012665-RB,4578480,AgaP_AGAP012665,Aga.31086
Q5TMW8,AGAP012049,AGAP012049-PA,AGAP012049-RA,3291499,AgaP_AGAP012049,
Q7PRP4,AGAP000749,AGAP000749-PA,AGAP000749-RA,1272338,AgaP_AGAP000749,
Q5TUQ7,AGAP000777,AGAP000777-PA,AGAP000777-RA,3289751,AgaP_AGAP000777,
Q7QHS1,AGAP011326,AGAP011326-PA,AGAP011326-RA,1270611,IAP2,
Q7Q7G4,AGAP005323,AGAP005323-PA,AGAP005323-RA,1276030,AgaP_AGAP005323,
Q5TWX7,AGAP007450,AGAP007450-PA,AGAP007450-RA,3290372,AgaP_AGAP007450,
Q7Q3V7,,,,1277886,AgaP_AGAP008065,
A0NFJ3,AGAP010299,AGAP010299-PA,AGAP010299-RA,4578194,AgaP_AGAP010299,
F5HLE5,AGAP013100,AGAP013100-PA,AGAP013100-RA,11175874,AgaP_AGAP013100,
Q7Q9Y2,AGAP004534,AGAP004534-PA,AGAP004534-RA,1274680,AgaP_AGAP004534,
Q17005,AGAP007347,AGAP007347-PA,AGAP007347-RA,1269831,LYSC1_ANOGA,
Q5TMZ7,AGAP012074,AGAP012074-PA,AGAP012074-RA,3291508,AgaP_AGAP012074,
A0NFI2,AGAP004764,AGAP004764-PA,AGAP004764-RA,4576548,AgaP_AGAP004764,
Q7Q111,AGAP010028,AGAP010028-PA,AGAP010028-RA,1279455,AgaP_AGAP010028,
A7URS0,AGAP007052,AGAP007052-PA,AGAP007052-RA,5666887,AgaP_AGAP007052,
A0NAD6,AGAP012846,AGAP012846-PA,AGAP012846-RA,4397638,AgaP_AGAP012846,
A0NBM1,AGAP006921,AGAP006921-PA,AGAP006921-RA,1270161,AgaP_AGAP006921,
Q7QAY1,AGAP012445,AGAP012445-PA,AGAP012445-RA,1274134,AgaP_AGAP012445,Aga.16048
Q7Q2Q7,AGAP004767,AGAP004767-PA,AGAP004767-RA,1278458,AgaP_AGAP004767,
Q7PW47,,,,1280046,AgaP_AGAP009093,
Q5TP02,AGAP009955,AGAP009955-PA,AGAP009955-RA,3292100,AgaP_AGAP009955,
Q7PSA6,AGAP009523,AGAP009523-PA,AGAP009523-RA,1271386,AgaP_AGAP009523,
F5HKX2,AGAP003059,AGAP003059-PD,AGAP003059-RD,3290737,AgaP_AGAP003059,
Q5TYJ2,AGAP012896,AGAP012896-PA,AGAP012896-RA,3292664,AgaP_AGAP012896,
Q7PMA7,AGAP009940,AGAP009940-PA,AGAP009940-RA,1279355,AgaP_AGAP009940,
Q7Q324,AGAP011449,AGAP011449-PA,AGAP011449-RA,1278245,AgaP_AGAP011449,
F5HIQ7,AGAP013487,AGAP013487-PA,AGAP013487-RA,11176153,AgaP_AGAP013487,
Q5TPD3,AGAP009592,AGAP009592-PA,AGAP009592-RA,3292008,AgaP_AGAP009592,
Q7Q572,AGAP006604,AGAP006604-PA,AGAP006604-RA,1277188,AgaP_AGAP006604,
A7USY2,AGAP004162,AGAP004162-PA,AGAP004162-RA,5667687,AgaP_AGAP004162,
Q17029,AGAP002473,AGAP002473-PA,AGAP002473-RA,1273486,VATF_ANOGA,
A0NAD0,AGAP012594,AGAP012594-PA,AGAP012594-RA,4397615,AgaP_AGAP012594,
Q7QIJ5,AGAP006907,AGAP006907-PA,AGAP006907-RA,1270172,AgaP_AGAP006907,
Q7PR35,AGAP003017,AGAP003017-PA,AGAP003017-RA,1272934,AgaP_AGAP003017,
F5HL94,AGAP013361,AGAP013361-PA,AGAP013361-RA,11175551,AgaP_AGAP013361,
Q7PP25,AGAP005477,AGAP005477-PA,AGAP005477-RA,1276169,AgaP_AGAP005477,
Q7Q626,AGAP006073,AGAP006073-PA,AGAP006073-RA,1276745,AgaP_AGAP006073,
A7UV54,AGAP010027,AGAP010027-PA,AGAP010027-RA,5668292,AgaP_AGAP010027,
Q7PN25,,,,1278022,AgaP_AGAP007934,
Q7QJ30,AGAP007238,AGAP007238-PA,AGAP007238-RA,1269906,AgaP_AGAP007238,
A8B1H0,AGAP004384,AGAP004384-PA,AGAP004384-RA,1274531,AgaP_AGAP004384,
A0NED2,AGAP005476,AGAP005476-PA,AGAP005476-RA,4576341,AgaP_AGAP005476,
Q7QHK0,,,,1270706,AgaP_AGAP011219,
Q7QDS0,AGAP010386,AGAP010386-PA,AGAP010386-RA,1272659,AgaP_AGAP010386,
Q7PRM6,AGAP000790,AGAP000790-PA,AGAP000790-RA,1272384,AgaP_AGAP000790,
Q7Q115,AGAP010020,AGAP010020-PA,AGAP010020-RA,1279448,AgaP_AGAP010020,
Q7Q059,AGAP012271,AGAP012271-PA,AGAP012271-RA,1280417,AgaP_AGAP012271,
Q7PTP5,AGAP003264,AGAP003264-PA,AGAP003264-RA,1269169,AgaP_AGAP003264,
Q7PQ60,AGAP004501,AGAP004501-PA,AGAP004501-RA,1274647,AgaP_AGAP004501,
Q7PZ04,AGAP011670,AGAP011670-PA,AGAP011670-RA,1280969,AgaP_AGAP011670,
Q5TVX2,AGAP011091,AGAP011091-PA,AGAP011091-RA,3291240,AgaP_AGAP011091,
A0NG52,AGAP010283,AGAP010283-PA,AGAP010283-RA,4578224,AgaP_AGAP010283,
Q7PXW9,AGAP001633,AGAP001633-PA,AGAP001633-RA,1281535,AgaP_AGAP001633,
F5HK68,AGAP002384,AGAP002384-PA,AGAP002384-RA,1273578,AgaP_AGAP002384,
Q2HPE8,AGAP005001,AGAP005001-PA,AGAP005001-RA,1275825,GPRNNA17,
Q7PS22,AGAP000384,AGAP000384-PA,AGAP000384-RA,1271868,AgaP_AGAP000384,
Q7PYZ2,AGAP011654,AGAP011654-PA,AGAP011654-RA,1280984,AgaP_AGAP011654,
Q7QGF5,,,,1271244,AgaP_AGAP009333,
Q7Q194,AGAP009903,AGAP009903-PA,AGAP009903-RA,1279317,AgaP_AGAP009903,
Q7QM48,AGAP012625,AGAP012625-PA,AGAP012625-RA,1267595,AgaP_AGAP012625,Aga.30692
Q5TNY1,,,,3292114,AgaP_AGAP010037,
A0NG69,AGAP009168,AGAP009168-PA,AGAP009168-RA,4578349,AgaP_AGAP009168,
Q7PZK1,,,,1280717,AgaP_AGAP011954,
A0NDE4,AGAP004196,AGAP004196-PA,AGAP004196-RA,4576796,AgaP_AGAP004196,
